Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A0,41,3,42,3
0,A0,41,3,41,4
1,A0,80,22,80,21
1,A0,80,22,79,22
2,A0,40,29,40,28
2,A0,40,29,40,30
3,A1,93,14,93,13
3,A1,93,14,93,15
4,A1,50,18,50,17
4,A1,50,18,49,18
5,A2,50,4,51,4
5,A2,50,4,50,5
6,A2,94,22,94,21
6,A2,94,22,93,22
7,A2,50,36,49,36
7,A2,50,36,51,36
8,A3,70,1,71,1
8,A3,70,1,70,2
9,A3,82,7,81,7
9,A3,82,7,82,8
10,A3,44,21,43,21
10,A3,44,21,44,22
11,A4,40,50,40,49
11,A4,40,50,40,51
12,A5,50,51,51,51
12,A5,50,51,50,52
13,A5,60,51,59,51
13,A5,60,51,61,51
14,A5,84,51,84,50
14,A5,84,51,85,51
15,A6,98,57,97,57
15,A6,98,57,98,58
16,A7,72,5,71,5
16,A7,72,5,73,5
17,A7,62,36,61,36
17,A7,62,36,63,36
18,A7,82,36,81,36
18,A7,82,36,82,37
19,A7,59,40,59,39
19,A7,59,40,58,40
20,B0,50,28,51,28
20,B0,50,28,50,29
21,B0,79,29,79,28
21,B0,79,29,79,30
22,B0,69,61,69,60
22,B0,69,61,70,61
23,B1,47,23,48,23
23,B1,47,23,47,24
24,B1,76,31,76,30
24,B1,76,31,76,32
25,B2,85,0,84,0
25,B2,85,0,86,0
26,B2,92,15,92,14
26,B2,92,15,92,16
27,B2,68,32,68,31
27,B2,68,32,68,33
28,B3,71,25,71,24
28,B3,71,25,72,25
29,B3,34,30,33,30
29,B3,34,30,35,30
30,B3,71,59,70,59
30,B3,71,59,71,60
31,B4,81,58,80,58
31,B4,81,58,82,58
32,B4,53,62,53,61
32,B4,53,62,53,63
33,B4,74,63,74,62
33,B4,74,63,74,64
34,B5,47,55,46,55
34,B5,47,55,48,55
35,B5,61,67,60,67
35,B5,61,67,62,67
36,B5,71,67,72,67
36,B5,71,67,71,68
37,B6,65,52,64,52
37,B6,65,52,65,53
38,B6,57,57,57,56
38,B6,57,57,57,58
39,B6,76,72,75,72
39,B6,76,72,77,72
40,B7,73,49,73,48
40,B7,73,49,73,50
41,B7,73,59,73,58
41,B7,73,59,73,60
42,B7,73,65,73,64
42,B7,73,65,72,65
43,BX7,93,51,94,51
43,BX7,93,51,93,52
44,OP0,29,5,30,5
44,OP0,29,5,29,6
45,OP0,95,29,95,28
45,OP0,95,29,94,29
46,OP0,38,46,37,46
46,OP0,38,46,38,47
47,OP1,16,15,17,15
47,OP1,16,15,16,16
48,R0,12,35,12,34
48,R0,12,35,11,35
49,R1,14,36,14,35
49,R1,14,36,14,37
50,R2,21,31,20,31
50,R2,21,31,22,31
51,R3,19,30,18,30
51,R3,19,30,20,30
52,R4,13,47,12,47
52,R4,13,47,13,48
53,R5,14,43,13,43
53,R5,14,43,14,44
54,R6,15,41,14,41
54,R6,15,41,16,41
55,R7,27,33,28,33
55,R7,27,33,27,34
56,R7,22,47,21,47
56,R7,22,47,22,48
57,SUB,73,26,72,26
57,SUB,73,26,73,27
58,SUB,102,30,102,29
58,SUB,102,30,103,30
59,SUB,75,39,74,39
59,SUB,75,39,76,39
59,SUB,75,39,75,40
60,SUB,96,48,96,47
60,SUB,96,48,96,49
61,SUB,85,57,86,57
61,SUB,85,57,85,58
62,SUB,78,63,78,62
62,SUB,78,63,78,64
63,SUB,83,68,82,68
63,SUB,83,68,84,68
64,SUM7,103,44,102,44
64,SUM7,103,44,103,45
