Net,Component,Physical_pin,Column_zero_based,Row_zero_based,Connection_side
B3,U_AND0,1,43,15,top
A3,U_AND0,2,44,15,top
AND3,U_AND0,3,45,15,top
A2,U_AND0,4,46,15,top
B2,U_AND0,5,47,15,top
AND2,U_AND0,6,48,15,top
GND,U_AND0,7,49,15,underneath
AND1,U_AND0,8,49,12,top
A1,U_AND0,9,48,12,top
B1,U_AND0,10,47,12,top
AND0,U_AND0,11,46,12,top
B0,U_AND0,12,45,12,top
A0,U_AND0,13,44,12,top
VCC,U_AND0,14,43,12,underneath
A0,U_OR0,1,42,28,top
B0,U_OR0,2,43,28,top
OR0,U_OR0,3,44,28,top
A2,U_OR0,4,45,28,top
B2,U_OR0,5,46,28,top
OR2,U_OR0,6,47,28,top
GND,U_OR0,7,48,28,underneath
OR1,U_OR0,8,48,25,top
B1,U_OR0,9,47,25,top
A1,U_OR0,10,46,25,top
OR3,U_OR0,11,45,25,top
B3,U_OR0,12,44,25,top
A3,U_OR0,13,43,25,top
VCC,U_OR0,14,42,25,underneath
A3,U_XOR0,1,80,15,top
B3,U_XOR0,2,81,15,top
XOR3,U_XOR0,3,82,15,top
B1,U_XOR0,4,83,15,top
A1,U_XOR0,5,84,15,top
XOR1,U_XOR0,6,85,15,top
GND,U_XOR0,7,86,15,underneath
XOR0,U_XOR0,8,86,12,top
B0,U_XOR0,9,85,12,top
A0,U_XOR0,10,84,12,top
XOR2,U_XOR0,11,83,12,top
B2,U_XOR0,12,82,12,top
A2,U_XOR0,13,81,12,top
VCC,U_XOR0,14,80,12,underneath
B3,U_BINV0,1,101,15,top
SUB,U_BINV0,2,102,15,top
BX3,U_BINV0,3,103,15,top
B1,U_BINV0,4,104,15,top
SUB,U_BINV0,5,105,15,top
BX1,U_BINV0,6,106,15,top
GND,U_BINV0,7,107,15,underneath
BX2,U_BINV0,8,107,12,top
B2,U_BINV0,9,106,12,top
SUB,U_BINV0,10,105,12,top
BX0,U_BINV0,11,104,12,top
B0,U_BINV0,12,103,12,top
SUB,U_BINV0,13,102,12,top
VCC,U_BINV0,14,101,12,underneath
SUM1,U_ADD0,1,96,28,top
BX1,U_ADD0,2,97,28,top
A1,U_ADD0,3,98,28,top
SUM0,U_ADD0,4,99,28,top
A0,U_ADD0,5,100,28,top
BX0,U_ADD0,6,101,28,top
SUB,U_ADD0,7,102,28,top
GND,U_ADD0,8,103,28,underneath
C4,U_ADD0,9,103,25,top
SUM3,U_ADD0,10,102,25,top
BX3,U_ADD0,11,101,25,top
A3,U_ADD0,12,100,25,top
SUM2,U_ADD0,13,99,25,top
A2,U_ADD0,14,98,25,top
BX2,U_ADD0,15,97,25,top
VCC,U_ADD0,16,96,25,underneath
OP0,U_LOG0,1,16,18,top
AND3,U_LOG0,2,16,19,top
OR3,U_LOG0,3,16,20,top
LOG3,U_LOG0,4,16,21,top
AND1,U_LOG0,5,16,22,top
OR1,U_LOG0,6,16,23,top
LOG1,U_LOG0,7,16,24,top
GND,U_LOG0,8,16,25,underneath
LOG2,U_LOG0,9,19,25,top
OR2,U_LOG0,10,19,24,top
AND2,U_LOG0,11,19,23,top
LOG0,U_LOG0,12,19,22,top
OR0,U_LOG0,13,19,21,top
AND0,U_LOG0,14,19,20,top
GND,U_LOG0,15,19,19,underneath
VCC,U_LOG0,16,19,18,underneath
OP0,U_AR0,1,80,30,top
SUM0,U_AR0,2,81,30,top
XOR0,U_AR0,3,82,30,top
AR0,U_AR0,4,83,30,top
SUM1,U_AR0,5,84,30,top
XOR1,U_AR0,6,85,30,top
AR1,U_AR0,7,86,30,top
GND,U_AR0,8,87,30,underneath
AR2,U_AR0,9,87,27,top
XOR2,U_AR0,10,86,27,top
SUM2,U_AR0,11,85,27,top
AR3,U_AR0,12,84,27,top
XOR3,U_AR0,13,83,27,top
SUM3,U_AR0,14,82,27,top
GND,U_AR0,15,81,27,underneath
VCC,U_AR0,16,80,27,underneath
OP1,U_FINAL0,1,30,18,top
AR0,U_FINAL0,2,30,19,top
LOG0,U_FINAL0,3,30,20,top
R0,U_FINAL0,4,30,21,top
AR1,U_FINAL0,5,30,22,top
LOG1,U_FINAL0,6,30,23,top
R1,U_FINAL0,7,30,24,top
GND,U_FINAL0,8,30,25,underneath
R2,U_FINAL0,9,33,25,top
LOG2,U_FINAL0,10,33,24,top
AR2,U_FINAL0,11,33,23,top
R3,U_FINAL0,12,33,22,top
LOG3,U_FINAL0,13,33,21,top
AR3,U_FINAL0,14,33,20,top
GND,U_FINAL0,15,33,19,underneath
VCC,U_FINAL0,16,33,18,underneath
A4,U_AND1,1,43,44,top
B4,U_AND1,2,44,44,top
AND4,U_AND1,3,45,44,top
B5,U_AND1,4,46,44,top
A5,U_AND1,5,47,44,top
AND5,U_AND1,6,48,44,top
GND,U_AND1,7,49,44,underneath
AND7,U_AND1,8,49,41,top
A7,U_AND1,9,48,41,top
B7,U_AND1,10,47,41,top
AND6,U_AND1,11,46,41,top
A6,U_AND1,12,45,41,top
B6,U_AND1,13,44,41,top
VCC,U_AND1,14,43,41,underneath
A6,U_OR1,1,42,62,top
B6,U_OR1,2,43,62,top
OR6,U_OR1,3,44,62,top
A7,U_OR1,4,45,62,top
B7,U_OR1,5,46,62,top
OR7,U_OR1,6,47,62,top
GND,U_OR1,7,48,62,underneath
OR5,U_OR1,8,48,59,top
B5,U_OR1,9,47,59,top
A5,U_OR1,10,46,59,top
OR4,U_OR1,11,45,59,top
B4,U_OR1,12,44,59,top
A4,U_OR1,13,43,59,top
VCC,U_OR1,14,42,59,underneath
B4,U_XOR1,1,80,49,top
A4,U_XOR1,2,81,49,top
XOR4,U_XOR1,3,82,49,top
B5,U_XOR1,4,83,49,top
A5,U_XOR1,5,84,49,top
XOR5,U_XOR1,6,85,49,top
GND,U_XOR1,7,86,49,underneath
XOR6,U_XOR1,8,86,46,top
B6,U_XOR1,9,85,46,top
A6,U_XOR1,10,84,46,top
XOR7,U_XOR1,11,83,46,top
A7,U_XOR1,12,82,46,top
B7,U_XOR1,13,81,46,top
VCC,U_XOR1,14,80,46,underneath
