Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A0,54,12,54,11
0,A0,54,12,54,13
1,A0,76,16,75,16
1,A0,76,16,77,16
2,A0,55,27,56,27
2,A0,55,27,55,28
3,A1,79,4,80,4
3,A1,79,4,79,5
4,A1,79,14,79,13
4,A1,79,14,79,15
5,A1,46,20,45,20
5,A1,46,20,47,20
6,A2,62,6,62,5
6,A2,62,6,61,6
7,A2,85,9,85,8
7,A2,85,9,86,9
8,A2,41,16,42,16
8,A2,41,16,41,17
9,A3,82,2,81,2
9,A3,82,2,83,2
10,A3,56,5,57,5
10,A3,56,5,56,6
11,A3,62,11,61,11
11,A3,62,11,62,12
12,A4,63,48,63,47
12,A4,63,48,63,49
13,A4,78,50,77,50
13,A4,78,50,79,50
14,A4,48,65,49,65
14,A4,48,65,48,66
15,A5,59,52,59,51
15,A5,59,52,58,52
16,A5,58,62,59,62
16,A5,58,62,58,63
17,A5,87,67,86,67
17,A5,87,67,88,67
18,A6,65,38,65,37
18,A6,65,38,65,39
19,A6,65,43,64,43
19,A6,65,43,65,44
20,A6,85,44,86,44
20,A6,85,44,85,45
21,A7,60,36,61,36
21,A7,60,36,60,37
22,A7,66,36,67,36
22,A7,66,36,66,37
23,A7,75,36,76,36
23,A7,75,36,75,37
24,A7,75,45,76,45
24,A7,75,45,75,46
25,B0,53,16,54,16
25,B0,53,16,53,17
26,B0,76,19,75,19
26,B0,76,19,77,19
27,B0,53,31,52,31
27,B0,53,31,53,32
28,B1,73,24,73,23
28,B1,73,24,72,24
29,B1,73,35,72,35
29,B1,73,35,74,35
30,B1,68,42,68,41
30,B1,68,42,68,43
31,B2,88,1,87,1
31,B2,88,1,89,1
32,B2,76,9,76,8
32,B2,76,9,75,9
33,B2,44,17,44,16
33,B2,44,17,43,17
34,B3,78,13,78,12
34,B3,78,13,77,13
35,B3,71,29,71,28
35,B3,71,29,72,29
36,B3,78,29,78,28
36,B3,78,29,77,29
37,B4,55,61,55,60
37,B4,55,61,55,62
38,B4,66,61,65,61
38,B4,66,61,66,62
39,B4,77,62,77,61
39,B4,77,62,76,62
40,B5,83,52,83,51
40,B5,83,52,82,52
41,B5,50,56,51,56
41,B5,50,56,50,57
42,B5,71,56,71,55
42,B5,71,56,71,57
43,B6,73,46,73,45
43,B6,73,46,73,47
44,B6,73,59,73,58
44,B6,73,59,72,59
45,B6,73,70,74,70
45,B6,73,70,73,71
46,B7,72,48,72,47
46,B7,72,48,72,49
47,B7,41,57,42,57
47,B7,41,57,41,58
48,B7,64,70,65,70
48,B7,64,70,64,71
49,BX7,93,53,93,52
49,BX7,93,53,92,53
50,OP0,24,11,25,11
50,OP0,24,11,24,12
51,OP0,95,17,96,17
51,OP0,95,17,95,18
52,OP0,20,50,20,49
52,OP0,20,50,19,50
53,OP1,5,19,6,19
53,OP1,5,19,5,20
54,R0,16,33,17,33
54,R0,16,33,16,34
55,R1,13,27,13,26
55,R1,13,27,13,28
56,R2,20,30,19,30
56,R2,20,30,21,30
57,R3,22,32,21,32
57,R3,22,32,23,32
58,R4,17,42,17,41
58,R4,17,42,16,42
59,R5,19,43,19,42
59,R5,19,43,18,43
60,R6,9,55,8,55
60,R6,9,55,9,56
61,R7,14,45,13,45
61,R7,14,45,15,45
62,R7,33,48,32,48
62,R7,33,48,34,48
63,SUB,81,22,80,22
63,SUB,81,22,82,22
64,SUB,79,25,79,24
64,SUB,79,25,79,26
65,SUB,81,30,80,30
65,SUB,81,30,82,30
66,SUB,84,30,84,29
66,SUB,84,30,84,31
67,SUB,97,37,98,37
67,SUB,97,37,97,38
68,SUB,94,60,94,59
68,SUB,94,60,94,61
69,SUB,81,72,81,71
69,SUB,81,72,82,72
70,SUB,83,72,83,71
70,SUB,83,72,84,72
71,SUM7,103,41,104,41
71,SUM7,103,41,103,42
