Net,Component,Physical_pin,Column_zero_based,Row_zero_based,Connection_side
A0,U_AND0,1,43,15,top
B0,U_AND0,2,44,15,top
AND0,U_AND0,3,45,15,top
A1,U_AND0,4,46,15,top
B1,U_AND0,5,47,15,top
AND1,U_AND0,6,48,15,top
GND,U_AND0,7,49,15,underneath
AND2,U_AND0,8,49,12,top
A2,U_AND0,9,48,12,top
B2,U_AND0,10,47,12,top
AND3,U_AND0,11,46,12,top
B3,U_AND0,12,45,12,top
A3,U_AND0,13,44,12,top
VCC,U_AND0,14,43,12,underneath
A2,U_OR0,1,42,28,top
B2,U_OR0,2,43,28,top
OR2,U_OR0,3,44,28,top
B3,U_OR0,4,45,28,top
A3,U_OR0,5,46,28,top
OR3,U_OR0,6,47,28,top
GND,U_OR0,7,48,28,underneath
OR1,U_OR0,8,48,25,top
B1,U_OR0,9,47,25,top
A1,U_OR0,10,46,25,top
OR0,U_OR0,11,45,25,top
A0,U_OR0,12,44,25,top
B0,U_OR0,13,43,25,top
VCC,U_OR0,14,42,25,underneath
A0,U_XOR0,1,80,15,top
B0,U_XOR0,2,81,15,top
XOR0,U_XOR0,3,82,15,top
A1,U_XOR0,4,83,15,top
B1,U_XOR0,5,84,15,top
XOR1,U_XOR0,6,85,15,top
GND,U_XOR0,7,86,15,underneath
XOR2,U_XOR0,8,86,12,top
B2,U_XOR0,9,85,12,top
A2,U_XOR0,10,84,12,top
XOR3,U_XOR0,11,83,12,top
A3,U_XOR0,12,82,12,top
B3,U_XOR0,13,81,12,top
VCC,U_XOR0,14,80,12,underneath
B0,U_BINV0,1,80,28,top
SUB,U_BINV0,2,81,28,top
BX0,U_BINV0,3,82,28,top
SUB,U_BINV0,4,83,28,top
B1,U_BINV0,5,84,28,top
BX1,U_BINV0,6,85,28,top
GND,U_BINV0,7,86,28,underneath
BX3,U_BINV0,8,86,25,top
B3,U_BINV0,9,85,25,top
SUB,U_BINV0,10,84,25,top
BX2,U_BINV0,11,83,25,top
B2,U_BINV0,12,82,25,top
SUB,U_BINV0,13,81,25,top
VCC,U_BINV0,14,80,25,underneath
SUM1,U_ADD0,1,96,28,top
BX1,U_ADD0,2,97,28,top
A1,U_ADD0,3,98,28,top
SUM0,U_ADD0,4,99,28,top
A0,U_ADD0,5,100,28,top
BX0,U_ADD0,6,101,28,top
SUB,U_ADD0,7,102,28,top
GND,U_ADD0,8,103,28,underneath
C4,U_ADD0,9,103,25,top
SUM3,U_ADD0,10,102,25,top
BX3,U_ADD0,11,101,25,top
A3,U_ADD0,12,100,25,top
SUM2,U_ADD0,13,99,25,top
A2,U_ADD0,14,98,25,top
BX2,U_ADD0,15,97,25,top
VCC,U_ADD0,16,96,25,underneath
OP0,U_LOG0,1,30,18,top
AND2,U_LOG0,2,30,19,top
OR2,U_LOG0,3,30,20,top
LOG2,U_LOG0,4,30,21,top
AND1,U_LOG0,5,30,22,top
OR1,U_LOG0,6,30,23,top
LOG1,U_LOG0,7,30,24,top
GND,U_LOG0,8,30,25,underneath
LOG0,U_LOG0,9,33,25,top
OR0,U_LOG0,10,33,24,top
AND0,U_LOG0,11,33,23,top
LOG3,U_LOG0,12,33,22,top
OR3,U_LOG0,13,33,21,top
AND3,U_LOG0,14,33,20,top
GND,U_LOG0,15,33,19,underneath
VCC,U_LOG0,16,33,18,underneath
OP0,U_AR0,1,101,15,top
SUM2,U_AR0,2,102,15,top
XOR2,U_AR0,3,103,15,top
AR2,U_AR0,4,104,15,top
SUM1,U_AR0,5,105,15,top
XOR1,U_AR0,6,106,15,top
AR1,U_AR0,7,107,15,top
GND,U_AR0,8,108,15,underneath
AR3,U_AR0,9,108,12,top
XOR3,U_AR0,10,107,12,top
SUM3,U_AR0,11,106,12,top
AR0,U_AR0,12,105,12,top
XOR0,U_AR0,13,104,12,top
SUM0,U_AR0,14,103,12,top
GND,U_AR0,15,102,12,underneath
VCC,U_AR0,16,101,12,underneath
OP1,U_FINAL0,1,16,18,top
AR3,U_FINAL0,2,16,19,top
LOG3,U_FINAL0,3,16,20,top
R3,U_FINAL0,4,16,21,top
AR1,U_FINAL0,5,16,22,top
LOG1,U_FINAL0,6,16,23,top
R1,U_FINAL0,7,16,24,top
GND,U_FINAL0,8,16,25,underneath
R2,U_FINAL0,9,19,25,top
LOG2,U_FINAL0,10,19,24,top
AR2,U_FINAL0,11,19,23,top
R0,U_FINAL0,12,19,22,top
LOG0,U_FINAL0,13,19,21,top
AR0,U_FINAL0,14,19,20,top
GND,U_FINAL0,15,19,19,underneath
VCC,U_FINAL0,16,19,18,underneath
B4,U_AND1,1,43,49,top
A4,U_AND1,2,44,49,top
AND4,U_AND1,3,45,49,top
A5,U_AND1,4,46,49,top
B5,U_AND1,5,47,49,top
AND5,U_AND1,6,48,49,top
GND,U_AND1,7,49,49,underneath
AND6,U_AND1,8,49,46,top
A6,U_AND1,9,48,46,top
B6,U_AND1,10,47,46,top
AND7,U_AND1,11,46,46,top
A7,U_AND1,12,45,46,top
B7,U_AND1,13,44,46,top
VCC,U_AND1,14,43,46,underneath
B6,U_OR1,1,42,62,top
A6,U_OR1,2,43,62,top
OR6,U_OR1,3,44,62,top
B7,U_OR1,4,45,62,top
A7,U_OR1,5,46,62,top
OR7,U_OR1,6,47,62,top
GND,U_OR1,7,48,62,underneath
OR5,U_OR1,8,48,59,top
B5,U_OR1,9,47,59,top
A5,U_OR1,10,46,59,top
OR4,U_OR1,11,45,59,top
B4,U_OR1,12,44,59,top
A4,U_OR1,13,43,59,top
VCC,U_OR1,14,42,59,underneath
A4,U_XOR1,1,80,49,top
B4,U_XOR1,2,81,49,top
XOR4,U_XOR1,3,82,49,top
B5,U_XOR1,4,83,49,top
A5,U_XOR1,5,84,49,top
XOR5,U_XOR1,6,85,49,top
GND,U_XOR1,7,86,49,underneath
XOR6,U_XOR1,8,86,46,top
A6,U_XOR1,9,85,46,top
B6,U_XOR1,10,84,46,top
XOR7,U_XOR1,11,83,46,top
A7,U_XOR1,12,82,46,top
B7,U_XOR1,13,81,46,top
VCC,U_XOR1,14,80,46,underneath
B4,U_BINV1,1,80,62,top
SUB,U_BINV1,2,81,62,top
BX4,U_BINV1,3,82,62,top
SUB,U_BINV1,4,83,62,top
B5,U_BINV1,5,84,62,top
BX5,U_BINV1,6,85,62,top
GND,U_BINV1,7,86,62,underneath
BX6,U_BINV1,8,86,59,top
SUB,U_BINV1,9,85,59,top
B6,U_BINV1,10,84,59,top
BX7,U_BINV1,11,83,59,top
SUB,U_BINV1,12,82,59,top
B7,U_BINV1,13,81,59,top
VCC,U_BINV1,14,80,59,underneath
SUM5,U_ADD1,1,96,62,top
BX5,U_ADD1,2,97,62,top
A5,U_ADD1,3,98,62,top
SUM4,U_ADD1,4,99,62,top
A4,U_ADD1,5,100,62,top
BX4,U_ADD1,6,101,62,top
C4,U_ADD1,7,102,62,top
GND,U_ADD1,8,103,62,underneath
C,U_ADD1,9,103,59,top
SUM7,U_ADD1,10,102,59,top
BX7,U_ADD1,11,101,59,top
A7,U_ADD1,12,100,59,top
SUM6,U_ADD1,13,99,59,top
A6,U_ADD1,14,98,59,top
BX6,U_ADD1,15,97,59,top
VCC,U_ADD1,16,96,59,underneath
OP0,U_LOG1,1,30,52,top
AND4,U_LOG1,2,30,53,top
OR4,U_LOG1,3,30,54,top
LOG4,U_LOG1,4,30,55,top
AND5,U_LOG1,5,30,56,top
OR5,U_LOG1,6,30,57,top
LOG5,U_LOG1,7,30,58,top
GND,U_LOG1,8,30,59,underneath
LOG6,U_LOG1,9,33,59,top
OR6,U_LOG1,10,33,58,top
AND6,U_LOG1,11,33,57,top
LOG7,U_LOG1,12,33,56,top
OR7,U_LOG1,13,33,55,top
AND7,U_LOG1,14,33,54,top
GND,U_LOG1,15,33,53,underneath
VCC,U_LOG1,16,33,52,underneath
OP0,U_AR1,1,101,49,top
SUM4,U_AR1,2,102,49,top
XOR4,U_AR1,3,103,49,top
AR4,U_AR1,4,104,49,top
SUM5,U_AR1,5,105,49,top
XOR5,U_AR1,6,106,49,top
AR5,U_AR1,7,107,49,top
GND,U_AR1,8,108,49,underneath
AR6,U_AR1,9,108,46,top
XOR6,U_AR1,10,107,46,top
SUM6,U_AR1,11,106,46,top
AR7,U_AR1,12,105,46,top
XOR7,U_AR1,13,104,46,top
SUM7,U_AR1,14,103,46,top
GND,U_AR1,15,102,46,underneath
VCC,U_AR1,16,101,46,underneath
OP1,U_FINAL1,1,16,52,top
AR7,U_FINAL1,2,16,53,top
