Junction,Net,Center_column,Center_row,Landing_column,Landing_row
0,A0,65,8,66,8
0,A0,65,8,65,9
1,A0,40,16,41,16
1,A0,40,16,40,17
2,A0,76,16,77,16
2,A0,76,16,76,17
3,A1,46,19,46,18
3,A1,46,19,47,19
4,A1,64,19,64,18
4,A1,64,19,63,19
5,A1,72,19,73,19
5,A1,72,19,72,20
6,A2,88,5,87,5
6,A2,88,5,89,5
7,A2,52,6,53,6
7,A2,52,6,52,7
8,A2,50,17,49,17
8,A2,50,17,51,17
9,A3,81,3,80,3
9,A3,81,3,82,3
10,A3,60,7,59,7
10,A3,60,7,60,8
11,A3,60,14,61,14
11,A3,60,14,60,15
12,A4,65,51,65,50
12,A4,65,51,65,52
13,A4,45,55,45,54
13,A4,45,55,44,55
14,A4,78,59,78,58
14,A4,78,59,78,60
15,A5,63,49,63,48
15,A5,63,49,63,50
16,A5,46,53,47,53
16,A5,46,53,46,54
17,A5,86,69,85,69
17,A5,86,69,87,69
18,A6,69,15,68,15
18,A6,69,15,69,16
19,A6,62,39,61,39
19,A6,62,39,62,40
20,A6,91,44,92,44
20,A6,91,44,91,45
21,A7,62,22,63,22
21,A7,62,22,62,23
22,A7,81,36,82,36
22,A7,81,36,81,37
23,A7,64,37,63,37
23,A7,64,37,64,38
24,A7,64,41,64,40
24,A7,64,41,64,42
25,B0,70,21,69,21
25,B0,70,21,71,21
26,B1,53,21,52,21
26,B1,53,21,53,22
27,B1,79,33,80,33
27,B1,79,33,79,34
28,B1,84,33,83,33
28,B1,84,33,85,33
29,B2,47,1,46,1
29,B2,47,1,48,1
30,B2,78,12,77,12
30,B2,78,12,78,13
31,B2,78,18,77,18
31,B2,78,18,79,18
32,B3,80,23,79,23
32,B3,80,23,81,23
33,B3,56,28,57,28
33,B3,56,28,56,29
34,B3,68,28,67,28
34,B3,68,28,68,29
35,B4,42,56,42,55
35,B4,42,56,41,56
36,B4,75,58,75,57
36,B4,75,58,74,58
37,B4,65,71,64,71
37,B4,65,71,66,71
38,B5,72,46,72,45
38,B5,72,46,72,47
39,B5,49,51,48,51
39,B5,49,51,49,52
40,B5,72,64,72,63
40,B5,72,64,73,64
41,B6,73,43,74,43
41,B6,73,43,73,44
42,B6,73,56,73,55
42,B6,73,56,74,56
43,B6,68,64,68,63
43,B6,68,64,68,65
44,B7,67,52,68,52
44,B7,67,52,67,53
45,B7,74,52,74,51
45,B7,74,52,74,53
46,B7,67,68,67,67
46,B7,67,68,68,68
47,BX7,93,57,92,57
47,BX7,93,57,94,57
48,OP0,22,13,23,13
48,OP0,22,13,22,14
49,OP0,29,15,29,14
49,OP0,29,15,30,15
50,OP0,100,39,99,39
50,OP0,100,39,100,40
51,OP1,6,13,5,13
51,OP1,6,13,6,14
52,R0,24,22,24,21
52,R0,24,22,24,23
53,R1,14,36,14,35
53,R1,14,36,13,36
54,R2,20,30,20,29
54,R2,20,30,19,30
55,R3,21,34,22,34
55,R3,21,34,21,35
56,R4,17,46,16,46
56,R4,17,46,18,46
57,R5,13,44,13,43
57,R5,13,44,14,44
58,R6,22,42,21,42
58,R6,22,42,22,43
59,R7,26,42,25,42
59,R7,26,42,26,43
60,R7,19,47,18,47
60,R7,19,47,20,47
61,SUB,77,24,78,24
61,SUB,77,24,77,25
62,SUB,77,30,78,30
62,SUB,77,30,77,31
63,SUB,81,30,81,29
63,SUB,81,30,80,30
64,SUB,77,32,76,32
64,SUB,77,32,77,33
65,SUB,85,55,84,55
65,SUB,85,55,86,55
65,SUB,85,55,85,56
66,SUB,88,55,87,55
66,SUB,88,55,88,56
67,SUB,83,71,82,71
67,SUB,83,71,84,71
68,SUM7,98,47,98,46
68,SUM7,98,47,98,48
